,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions,category,organization_type2,State_name_c,State_name,State_abv,State
643,93,584515,Christ's Haven for Children,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5129,Keller,,80520,2.85,Executive Director,-401085,84.16,265267,15161665,"Human Services : Youth Development, Shelter, and Crisis Services ",286587,87.75,0,1974240,TX,1993697.0,Human Services ," Youth Development, Shelter, and Crisis Services ",TEXAS,Texas,TX,48.0
644,81,550358,Christ House,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6635,Washington,,69130,1.73,"President, CEO",198154,89.17,250914,9709339,Human Services : Homeless Services ,101648,84.53,0,3180214,DC,3412710.0,Human Services , Homeless Services ,DISTRICT OF COLUMBIA,District of Columbia,DC,11.0
645,62,74956,Christ for Humanity,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5654,Tulsa,,Chief Executive Officer,-2302056.0,99.65,29697,3610024.0,International : Humanitarian Relief Supplies ,47094,73.12,0,4921888.0,OK,2677391,,,,,,,,
646,81,1891682,Christ for all Nations,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4392,Orlando,,219026,1.45,President,132389,92.82,1320243,6798932,Religion : Religious Media and Broadcasting ,51763,85.63,19200,11875573,FL,15168124.0,Religion , Religious Media and Broadcasting ,FLORIDA,Florida,FL,12.0
647,96,275062,Christ Reaching Asia Mission Worldwide,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14144,Bedford,,82030,6.6,Vice President,365878,80.15,183035,5094867,International : Development and Relief Services ,423055,85.68,0,784297,IN,1185217.0,International , Development and Relief Services ,INDIANA,Indiana,IN,18.0
648,89,150970,Chorus America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13330,Washington,,110834,8.14,President & CEO,-152095,82.35,232972,729182,"Arts, Culture, Humanities : Performing Arts ",17850,85.29,0,977392,DC,900885.0,"Arts, Culture, Humanities ", Performing Arts ,DISTRICT OF COLUMBIA,District of Columbia,DC,11.0
649,89,119986,Chosen Children Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14448,Inman,,100342,8.33,Executive Director,94805,93.72,124880,2022856,Religion : Religious Activities ,114744,91.04,0,959102,SC,1184029.0,Religion , Religious Activities ,SOUTH CAROLINA,South Carolina,SC,45.0
650,97,816886,Christel House International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7811,Indianapolis,,13908,0.13,President,1044276,88.46,1107929,43371376,Human Services : Children's and Family Services ,-146423,91.56,0,8677780,IN,9836094.0,Human Services , Children's and Family Services ,INDIANA,Indiana,IN,18.0
651,75,507519,Chofetz Chaim Heritage Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9346,Suffern,,165257,4.08,Executive Director,14590,75.39,496044,1116807,Religion : Religious Media and Broadcasting ,641200,75.19,0,3039744,NY,3314240.0,Religion , Religious Media and Broadcasting ,NEW YORK,New York,NY,36.0
652,100,111526,Chordoma Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16384,Durham,,91557,3.89,President,1811046,88.08,278731,4078154,Health : Medical Research ,439,91.57,0,1958748,NC,4144568.0,Health , Medical Research ,NORTH CAROLINA,North Carolina,NC,37.0
653,96,183936,CHOICE Humanitarian,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5681,West Jordan,,105000,2.71,Chief Executive Officer,489419,92.5,272038,1219526,International : Development and Relief Services ,94309,93.98,0,3408734,UT,4259818.0,International , Development and Relief Services ,UTAH,Utah,UT,49.0
654,89,143500,Chinese for Affirmative Action,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16564,San Francisco,,122689,5.56,Executive Director,64857,92.5,250358,1472106,Human and Civil Rights : Advocacy and Education ,91261,90.58,0,1809101,CA,886230.0,Human and Civil Rights , Advocacy and Education ,CALIFORNIA,California,CA,6.0
655,89,556318,Chinati Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15392,Marfa,,187701,7.95,Director,714230,75.13,509383,18801142,"Arts, Culture, Humanities : Museums ",495336,80.77,0,1294013,TX,2369853.0,"Arts, Culture, Humanities ", Museums ,TEXAS,Texas,TX,48.0
656,100,756301,CHN Housing Partners,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5223,Cleveland,,141749,0.54,Executive Director,351891,81.14,237908,21996635,Community Development : Housing and Neighborhood Development ,2383220,86.66,0,25191121,OH,16053909.0,Community Development , Housing and Neighborhood Development ,OHIO,Ohio,OH,39.0
657,73,536906,China Outreach Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16469,Mechanicsburg,,77000,2.32,President,-62071,89.78,153499,5482293,Religion : Religious Activities ,97315,79.58,0,2614894,PA,3145913.0,Religion , Religious Activities ,PENNSYLVANIA,Pennsylvania,PA,42.0
658,85,103990,CHIP of South Hampton Roads,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16266,Chesapeake,,78792,7.57,"President, CEO",88189,75.0,45385,228960,Human Services : Children's and Family Services ,-21868,79.38,0,890500,VA,1149932.0,Human Services , Children's and Family Services ,VIRGINIA,Virginia,VA,51.0
659,93,999611,China Institute in America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8935,New York,,241251,4.47,President,-1914043,70.88,594362,29717515,"International : International Peace, Security, and Affairs ",61581,78.82,0,3799022,NY,2637924.0,International ," International Peace, Security, and Affairs ",NEW YORK,New York,NY,36.0
660,100,113971,Childspring International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13263,Atlanta,,70000,1.94,Executive Director,10693,90.0,153333,139711,International : Development and Relief Services ,145399,92.92,0,3330636,GA,3463234.0,International , Development and Relief Services ,GEORGIA,Georgia,GA,13.0
661,96,1731438,CHOC Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6482,Orange,,227399,0.73,Executive Director,-6750573,87.02,4456759,67664425,"Health : Treatment and Prevention Services , ",761787,90.39,0,24946468,CA,23622305.0,Health ," Treatment and Prevention Services , ",CALIFORNIA,California,CA,6.0
662,89,194077,ChildSafe,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10581,San Antonio,,133400,5.06,"President, CEO",37953,97.32,227209,2426113,Human Services : Children's and Family Services ,42239,91.99,0,2213566,TX,2623887.0,Human Services , Children's and Family Services ,TEXAS,Texas,TX,48.0
663,93,434937,Children's Wish Foundation International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3490,Atlanta,,195442,3.58,Executive Director,-314413,47.5,2569689,788240,Health : Patient and Family Support ,3089,62.54,0,2448686,GA,5135810.0,Health , Patient and Family Support ,GEORGIA,Georgia,GA,13.0
664,85,89460,Childsplay,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9735,Tempe,,,-521960.0,95,170798,4722537.0,"Arts, Culture, Humanities : Performing Arts ",78488,88.81,0,3036259.0,AZ,835566,,,,,,,,
