,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions,category,organization_type2,State_name_c,State_name,State_abv,State
0,89,164590,9to5 National Association of Working Women,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14961,Milwaukee,,53463,3.11,Executive Director,349718,90.56,111522,1350382,Human and Civil Rights : Advocacy and Education ,49634,89.75,0,1440463,WI,1999023.0,Human and Civil Rights , Advocacy and Education ,WISCONSIN,Wisconsin,WI,55.0
1,86,1001560,'Aha Pūnana Leo,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16012,Hilo,,73500,1.47,Executive Director,1175965,85.92,54613,14773920,Education : Early Childhood Programs and Services ,382540,85.95,0,3912270,HI,3339358.0,Education , Early Childhood Programs and Services ,HAWAII,Hawaii,HI,15.0
2,85,93957,AID FOR AIDS International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11185,New York,,85000,0.99,Executive Director,-461502,77.65,248833,-770370,International : Development and Relief Services ,0,80.96,0,8157850,NY,8039138.0,International , Development and Relief Services ,NEW YORK,New York,NY,36.0
3,86,346867,Futures in Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17169,Brooklyn,,61220,0.78,Acting Executive Director,1872733,97.5,384550,11460087,"Education : Scholarship and Financial Support , ",-81726,89.94,0,7018262,NY,9704138.0,Education ," Scholarship and Financial Support , ",NEW YORK,New York,NY,36.0
4,97,135195,Every Generation Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14080,Temecula,,74244,5.41,President,-103940,87.08,87436,723772,Religion : Religious Activities ,32436,90.62,0,1148407,CA,1234662.0,Religion , Religious Activities ,CALIFORNIA,California,CA,6.0
5,100,505751,Futures Without Violence,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6436,San Francisco,,312498,2.85,President & Founder,1931497,93.14,377933,40621685,Human and Civil Rights : Advocacy and Education ,320916,95.14,0,10059539,CA,12355178.0,Human and Civil Rights , Advocacy and Education ,CALIFORNIA,California,CA,6.0
6,89,103173,Gwinnett Habitat for Humanity,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11467,Stone Mountain,,85665,7.27,Executive Director,-126216,99.94,49542,3579208,Community Development : Housing and Neighborhood Development ,-13057,92.22,33556,1024283,GA,536485.0,Community Development , Housing and Neighborhood Development ,GEORGIA,Georgia,GA,13.0
7,100,663845,Izaak Walton League of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8974,Gaithersburg,,154999,6.01,Executive Director,-294094,79.94,218404,7474607,Environment : Environmental Protection and Conservation ,101537,85.81,0,1695556,MD,2170503.0,Environment , Environmental Protection and Conservation ,MARYLAND,Maryland,MD,24.0
8,100,77155,"It's The Journey, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11793,Atlanta,,110110,7.36,Executive Director,107849,89.98,76939,808446,"Health : Medical Research , ",10299,92.91,0,1340579,GA,1473462.0,Health ," Medical Research , ",GEORGIA,Georgia,GA,13.0
9,89,200643,Issaquah Schools Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15427,Bellevue,,98048,5.89,Executive Director,-59227,78.66,238249,1173256,"Education : Scholarship and Financial Support , ",29857,83.02,0,1225020,WA,1574828.0,Education ," Scholarship and Financial Support , ",WASHINGTON,Washington,WA,53.0
10,93,611779,Hydrocephalus Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11367,Bethesda,,200000,5.02,CEO,714966,84.82,562998,3645570,"Health : Diseases, Disorders, and Disciplines ",47177,88.17,0,2805884,MD,4595007.0,Health ," Diseases, Disorders, and Disciplines ",MARYLAND,Maryland,MD,24.0
11,85,177985,Hyde Park Art Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15747,Chicago,,,-91315.0,90.27,255073,6368885.0,"Arts, Culture, Humanities : Museums ",3505,87.35,0,1728407.0,IL,1287542,,,,,,,,
12,89,359125,The Hyde Collection,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11456,Glens Falls,,73138,4.14,Director,2131553,81.78,184263,24114195,"Arts, Culture, Humanities : Museums ",718853,84.95,0,1222660,NY,3051056.0,"Arts, Culture, Humanities ", Museums ,NEW YORK,New York,NY,36.0
13,89,168553,Huntsville Symphony Orchestra,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14797,Huntsville,,82500,4.51,"President, CEO",-3753,75.39,147873,131009,"Arts, Culture, Humanities : Performing Arts ",30692,80.93,0,1512485,AL,1044160.0,"Arts, Culture, Humanities ", Performing Arts ,ALABAMA,Alabama,AL,1.0
14,100,940855,Huntington's Disease Society of America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13075,New York,,264026,3.28,Chief Executive Officer,537310,87.34,853135,4553274,"Health : Diseases, Disorders, and Disciplines ",16889,91.04,0,6247620,NY,8562031.0,Health ," Diseases, Disorders, and Disciplines ",NEW YORK,New York,NY,36.0
15,100,119743,Huron River Watershed Council,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16855,Ann Arbor,,104945,6.73,Executive Director,29518,91.9,136818,1028525,Environment : Environmental Protection and Conservation ,4345,94.27,0,1302535,MI,1063890.0,Environment , Environmental Protection and Conservation ,MICHIGAN,Michigan,MI,26.0
16,89,83378,Byrnes Health Education Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12426,York,,89280,7.86,"President, CEO",-22834,83.8,162845,5209352,Health : Treatment and Prevention Services ,140551,86.15,0,888514,PA,809534.0,Health , Treatment and Prevention Services ,PENNSYLVANIA,Pennsylvania,PA,42.0
17,89,548733,Huntsville Botanical Garden,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17198,Huntsville,,151680,4.51,CEO,7440415,90.95,98906,18192084,"Environment : Botanical Gardens, Parks, and Nature Centers ",248250,89.92,0,2712221,AL,10103153.0,Environment ," Botanical Gardens, Parks, and Nature Centers ",ALABAMA,Alabama,AL,1.0
18,81,204621,Huntsville Museum of Art,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14766,Huntsville,,150988,6.53,Executive Director,66429,73.91,344880,97615,"Arts, Culture, Humanities : Museums ",26406,77.17,0,1760358,AL,1985118.0,"Arts, Culture, Humanities ", Museums ,ALABAMA,Alabama,AL,1.0
19,93,18026507,Cystic Fibrosis Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9142,Bethesda,,496970,0.19,"President, CEO",-44527665,97.35,18419757,3679424528,"Health : Diseases, Disorders, and Disciplines ,This rating represents consolidated financial data for these organizations:",89274989,94.7,0,221903338,MD,122210533.0,Health ," Diseases, Disorders, and Disciplines ,This rating represents consolidated financial data for these organizations",MARYLAND,Maryland,MD,24.0
20,85,68569,Curious Theatre Company,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13445,Denver,,,74817.0,74.6,134783,584693.0,"Arts, Culture, Humanities : Performing Arts ",-11920,79.14,0,1000940.0,CO,861035,,,,,,,,
21,100,336234,Cure SMA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12524,Elk Grove Village,,182099,2.4,President,307259,78.2,1009256,2695113,"Health : Diseases, Disorders, and Disciplines ",673000,84.58,0,6220527,IL,5818435.0,Health ," Diseases, Disorders, and Disciplines ",ILLINOIS,Illinois,IL,17.0
22,96,385923,CurePSP,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9827,New York,,193846,6.14,President,71600,86.36,522075,2226006,Health : Medical Research ,2965,89.94,0,2244223,NY,3119335.0,Health , Medical Research ,NEW YORK,New York,NY,36.0
23,100,838660,CURE International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5545,New Cumberland,,168480,0.24,"President, CEO",-14162177,92.5,3327969,102655210,International : Development and Relief Services ,707769,94.69,0,65695537,PA,23035192.0,International , Development and Relief Services ,PENNSYLVANIA,Pennsylvania,PA,42.0
24,82,416919,Dégagé Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12604,Grand Rapids,,72079,3.89,Executive Director,-27245,89.5,63375,2144882,Human Services : Homeless Services ,-24976,85.26,0,1371628,MI,1737373.0,Human Services , Homeless Services ,MICHIGAN,Michigan,MI,26.0
25,100,152412,Cystinosis Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12069,Irvine,,Chair,1820010.0,86.88,600799,4522420.0,"Health : Medical Research , ",38599,90.72,0,2284337.0,CA,4818959,,,,,,,,
26,100,124005,dZi Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12599,Ridgway,,77762,6.09,President,166629,94.64,164621,2000106,International : Development and Relief Services ,-10572,96.2,0,987277,CO,1453104.0,International , Development and Relief Services ,COLORADO,Colorado,CO,7.0
27,96,77735,Dystrophic Epidermolysis Bullosa Research Association of America (debra of America),https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11965,New York,,153012,9.46,Executive Director,-8398,94.71,169908,2775860,"Health : Diseases, Disorders, and Disciplines ",857985,95.31,0,1368684,NY,749944.0,Health ," Diseases, Disorders, and Disciplines ",NEW YORK,New York,NY,36.0
28,100,552261,CuriOdyssey,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12769,San Mateo,,147578,3.37,Executive Director,2682302,81.16,1052723,15706277,"Arts, Culture, Humanities : Museums ",603495,86.67,0,2769811,CA,5578134.0,"Arts, Culture, Humanities ", Museums ,CALIFORNIA,California,CA,6.0
29,100,163132,Dystonia Medical Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6640,Chicago,,144894,5.86,Executive Director,2655471,83.97,268624,4434900,Health : Medical Research ,15833,88.66,0,2038421,IL,5109815.0,Health , Medical Research ,ILLINOIS,Illinois,IL,17.0
30,89,201970,24 Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15235,Charlotte,,69731,2.25,Executive Director,-928932,80.0,144269,-427225,Health : Medical Research ,7134,83.85,0,2741091,NC,1999290.0,Health , Medical Research ,NORTH CAROLINA,North Carolina,NC,37.0
31,100,1418750,Dumb Friends League,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3610,Denver,,302320,1.64,President,-1551599,89.94,2463940,70125179,"Animals : Animal Rights, Welfare, and Services ",2788674,92.88,0,14526815,CO,12195279.0,Animals ," Animal Rights, Welfare, and Services ",COLORADO,Colorado,CO,7.0
32,100,1337698,Durham Rescue Mission,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8985,Durham,,148024,0.71,Chief Executive Officer,-8027987,100.0,574279,15582886,Human Services : Homeless Services ,4340235,100.0,0,18843152,NC,7897648.0,Human Services , Homeless Services ,NORTH CAROLINA,North Carolina,NC,37.0
33,93,462033,Dutchess County SPCA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6764,Hyde Park,,41686,1.9,Former Executive Director,-673663,86.19,113929,6009181,"Animals : Animal Rights, Welfare, and Services ",258802,89.05,0,1609406,NY,748227.0,Animals ," Animal Rights, Welfare, and Services ",NEW YORK,New York,NY,36.0
34,100,102716,DuPage PADS,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12278,Wheaton,,131808,3.51,Executive Director,390812,82.83,558415,2600177,Human Services : Homeless Services ,-57347,87.85,0,3085564,IL,4045611.0,Human Services , Homeless Services ,ILLINOIS,Illinois,IL,17.0
35,78,267388,DuPage Children's Museum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14735,Naperville,,120672,2.97,"President, CEO",353973,81.13,330570,3602916,"Arts, Culture, Humanities : Museums ",1325508,79.5,0,3463609,IL,1303678.0,"Arts, Culture, Humanities ", Museums ,ILLINOIS,Illinois,IL,17.0
36,96,6146668,Ducks Unlimited,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3631,Memphis,,511842,0.25,Chief Executive Officer,28422623,84.07,37813823,195923938,"Animals : Wildlife Conservation ,This rating represents consolidated financial data for these organizations:",24159550,88.38,0,159565880,TN,207789444.0,Animals ," Wildlife Conservation ,This rating represents consolidated financial data for these organizations",TENNESSEE,Tennessee,TN,47.0
37,89,488815,Dubuque County Historical Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12812,Dubuque,,110200,1.57,President/CEO,-2299475,93.25,228191,41573178,"Arts, Culture, Humanities : Museums ",760401,90.87,0,6284975,IA,1447829.0,"Arts, Culture, Humanities ", Museums ,IOWA,Iowa,IA,19.0
38,100,274079,4 Paws for Ability ,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13055,Xenia,,103803,3.4,Executive Director,621712,92.5,163774,3500111,Human Services : Social Services ,215424,94.69,0,2610426,OH,976681.0,Human Services , Social Services ,OHIO,Ohio,OH,39.0
39,82,112524,Dubuque Regional Humane Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14181,Dubuque,,80000,7.33,"President, CEO",-432203,93.05,102647,5497007,"Animals : Animal Rights, Welfare, and Services ",129752,86.35,0,875329,IA,200955.0,Animals ," Animal Rights, Welfare, and Services ",IOWA,Iowa,IA,19.0
40,96,177504,Drugs for Neglected Diseases Initiative North America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16059,New York,,154141,5.16,Executive Director,232256,79.98,394582,566614,Health : Medical Research ,241,85.56,0,2414640,NY,3218741.0,Health , Medical Research ,NEW YORK,New York,NY,36.0
41,82,740208,Drisha Institute for Jewish Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9364,New York,,150759,7.46,Dean,-835454,69.28,55864,7018400,Religion : Religious Activities ,388176,74.82,0,1223452,NY,700617.0,Religion , Religious Activities ,NEW YORK,New York,NY,36.0
42,96,355811,Dress for Success Worldwide,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7942,New York,,Chief Executive Officer,332576.0,90,962492,5107651.0,Human Services : Social Services ,2940350,92.38,2254689,21828611.0,NY,20539140,,,,,,,,
43,93,167750,Dreams Come True,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9624,Jacksonville,,108720,4.77,Executive Director,108718,99.85,136823,4620438,Health : Patient and Family Support ,559187,95.04,0,1971526,FL,1825630.0,Health , Patient and Family Support ,FLORIDA,Florida,FL,12.0
44,89,60495,Dream Factory,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9630,Louisville,,Chief Executive Officer,33649.0,96.22,29852,3505329.0,Health : Patient and Family Support ,-5029,91.77,159325,2181218.0,KY,2310243,,,,,,,,
45,85,476124,The Drawing Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6729,New York,,175000,7.88,Executive Director,-281839,83.31,333896,8918807,"Arts, Culture, Humanities : Museums ",15173,84.13,0,1409669,NY,1870018.0,"Arts, Culture, Humanities ", Museums ,NEW YORK,New York,NY,36.0
46,89,100694,The Drake House,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13324,Roswell,,78750,8.98,Executive Director,214028,95.35,70581,2517282,"Human Services : Youth Development, Shelter, and Crisis Services ",149850,91.55,0,704707,GA,928160.0,Human Services ," Youth Development, Shelter, and Crisis Services ",GEORGIA,Georgia,GA,13.0
47,100,88841,Downtown Rescue Mission,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9643,Huntsville,,101450,1.11,"President, CEO",1785719,85.0,1002981,7351178,Human Services : Homeless Services ,0,89.39,0,8005282,AL,10866393.0,Human Services , Homeless Services ,ALABAMA,Alabama,AL,1.0
48,93,368708,Dream Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9892,Santa Barbara,,162176,3.61,Executive Director,-653513,97.07,379683,4205692,Health : Patient and Family Support ,-129438,94.63,0,3737808,CA,3962124.0,Health , Patient and Family Support ,CALIFORNIA,California,CA,6.0
49,96,786239,Downtown Women's Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9461,Los Angeles,,146314,1.98,Chief Executive Officer,63453,87.26,679258,17685957,Human Services : Homeless Services ,225037,90.55,0,5906129,CA,6653125.0,Human Services , Homeless Services ,CALIFORNIA,California,CA,6.0
50,96,168761,Dress for Success Houston,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9703,Houston,,149520,7.38,President,328637,90.6,235553,13297040,Human Services : Social Services ,203944,92.77,0,1621606,TX,2150613.0,Human Services , Social Services ,TEXAS,Texas,TX,48.0
51,89,417058,DreamYard Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12702,Bronx,,112300,2.64,Co-Director,348133,91.11,290265,1270018,Education : Youth Education Programs and Services ,5,89.99,0,3540950,NY,3544959.0,Education , Youth Education Programs and Services ,NEW YORK,New York,NY,36.0
52,77,426800,Downtown Cleveland Alliance,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9155,Cleveland,,248020,3.88,"President, CEO",640459,88.93,292911,2673256,Community Development : Housing and Neighborhood Development ,57070,81.95,0,5668986,OH,6395443.0,Community Development , Housing and Neighborhood Development ,OHIO,Ohio,OH,39.0
53,89,323355,Downtown Community Television Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9361,New York,,86430,2.2,"Co-Executive Director, President",57141,97.47,162127,3557955,"Arts, Culture, Humanities : Performing Arts ",8875,92.01,0,3427753,NY,931376.0,"Arts, Culture, Humanities ", Performing Arts ,NEW YORK,New York,NY,36.0
54,96,1139640,DoveLewis Emergency Animal Hospital,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12512,Portland,,246301,2.14,Chief Executive Officer,634721,85.0,416782,7032558,"Animals : Animal Rights, Welfare, and Services ",62906,89.02,0,9935409,OR,1763793.0,Animals ," Animal Rights, Welfare, and Services ",OREGON,Oregon,OR,41.0
55,82,363126,Downline Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14124,Memphis,,25749,1.37,Executive Director,-227165,84.35,90845,1098466,Religion : Religious Activities ,99727,83.13,0,1417719,TN,1251931.0,Religion , Religious Activities ,TENNESSEE,Tennessee,TN,47.0
56,93,221067,The Dougy Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13186,Portland,,78395,4.5,Executive Director,-255466,77.32,314057,5304123,Human Services : Children's and Family Services ,497719,83.21,0,1204358,OR,923189.0,Human Services , Children's and Family Services ,OREGON,Oregon,OR,41.0
57,100,393930,Double H Ranch,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10568,Lake Luzerne,,201030,4.95,"CEO, Executive Director",2797545,81.29,733908,17319878,Health : Patient and Family Support ,474123,86.77,0,2926279,NY,6377539.0,Health , Patient and Family Support ,NEW YORK,New York,NY,36.0
58,96,217621,Dr. Susan Love Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11077,Encino,,210000,7.59,President,86969,89.4,273590,2963707,Health : Medical Research ,-168319,91.98,0,2272183,CA,2967182.0,Health , Medical Research ,CALIFORNIA,California,CA,6.0
59,100,133693,Doug Flutie Jr. Foundation For Autism,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8742,Framingham,,60000,5.64,Executive Director,656743,80.34,119799,2649691,"Health : Diseases, Disorders, and Disciplines , ",91146,86.09,0,808816,MA,1624689.0,Health ," Diseases, Disorders, and Disciplines , ",MASSACHUSETTS,Massachusetts,MA,25.0
60,75,17011,Dreamchaser PMU Rescue & Rehabilitation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16105,Falcon,,CEO,73172.0,74.5,288013,275659.0,"Animals : Animal Rights, Welfare, and Services ",33691,74.74,0,1293096.0,MO,1637601,,,,,,,,
61,100,211917,Doorways for Women and Families,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8581,Arlington,,126273,3.16,Executive Director,1524752,87.72,679666,6296186,Human Services : Social Services ,12960,91.31,0,3099925,VA,5503300.0,Human Services , Social Services ,VIRGINIA,Virginia,VA,51.0
62,97,601005,DOROT,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8104,New York,,266663,3.76,Executive Director,-767964,94.85,642278,24627928,Human Services : Social Services ,347371,95.78,0,5840860,NY,5968808.0,Human Services , Social Services ,NEW YORK,New York,NY,36.0
63,97,2197589,Drug Policy Alliance,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6230,New York,,294181,2.15,Executive Director,-3250274,74.88,1461581,2609490,Research and Public Policy : Social and Public Policy Research ,46428,82.11,0,10021348,NY,9796994.0,Research and Public Policy , Social and Public Policy Research ,NEW YORK,New York,NY,36.0
64,89,517141,The Doseum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13320,San Antonio,,135000,2.51,Executive Director,1901523,99.03,388725,51239590,"Arts, Culture, Humanities : Museums ",380514,92.19,0,4466430,TX,4306225.0,"Arts, Culture, Humanities ", Museums ,TEXAS,Texas,TX,48.0
65,96,865054,DonorsChoose.org,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9284,New York,,323551,0.32,Chief Executive Officer,6996938,97.5,4200623,41187281,Education : Youth Education Programs and Services ,116461,96.66,0,95527760,NY,107473914.0,Education , Youth Education Programs and Services ,NEW YORK,New York,NY,36.0
66,96,186936,The Doorways,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10285,Richmond ,,160419,6.53,"President, CEO",425866,97.5,101670,11806753,Health : Patient and Family Support ,956728,96.66,0,2165998,VA,1923742.0,Health , Patient and Family Support ,VIRGINIA,Virginia,VA,51.0
67,81,245384,Donald W. Reynolds Boys & Girls Club,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9653,Fayetteville,,,2133826.0,92.12,92857,13579831.0,"Human Services : Youth Development, Shelter, and Crisis Services ",95733,85.45,0,1823756.0,AR,3249573,,,,,,,,
68,82,146547,Domestic Violence Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15259,Canton,,59152,3.15,"Executive Director, CEO",-231661,97.5,92069,2069986,Human Services : Social Services ,42463,87.14,0,1635867,OH,1267216.0,Human Services , Social Services ,OHIO,Ohio,OH,39.0
69,92,630488,"Domestic Violence Intervention Services, Inc. (DVIS)",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13958,Tulsa,,115781,2.05,Executive Director,-684798,95.72,362732,18869218,Human Services : Social Services ,340245,93.58,0,4631486,OK,4358746.0,Human Services , Social Services ,OKLAHOMA,Oklahoma,OK,40.0
70,100,213616,Domestic Violence Solutions for Santa Barbara County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6561,Santa Barbara,,125781,6.9,Executive Director,-343184,79.61,174049,3274897,Human Services : Social Services ,12585,85.58,0,1432659,CA,1393851.0,Human Services , Social Services ,CALIFORNIA,California,CA,6.0
71,86,206192,Domestic Violence Center of Chester County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13827,West Chester,,110000,6.58,CEO,37029,91.87,132052,2865283,Human Services : Social Services ,18595,88.55,0,1333107,PA,1668817.0,Human Services , Social Services ,PENNSYLVANIA,Pennsylvania,PA,42.0
72,92,193701,"Domestic Abuse Project of Delaware County, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16392,Media,,Executive Director,123590.0,87.56,66172,1079155.0,Human Services : Social Services ,123072,89.54,0,1369670.0,PA,1630061,,,,,,,,
73,93,281430,Domestic Abuse Intervention Services,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14291,Madison,,87248,2.74,Executive Director,-903904,90.87,330147,6585456,Human Services : Social Services ,-4075,91.86,0,2564664,WI,2276412.0,Human Services , Social Services ,WISCONSIN,Wisconsin,WI,55.0
74,78,360621,Dollywood Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13711,Pigeon Force,,249962,9.04,President,8131517,96.67,113848,16323229,Education : Youth Education Programs and Services ,548864,84.26,0,2289217,TN,10346339.0,Education , Youth Education Programs and Services ,TENNESSEE,Tennessee,TN,47.0
75,89,234021,Domestic Abuse Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15314,Minneapolis,,92579,5.81,Executive Director,301797,79.6,146571,717082,Human Services : Social Services ,-18893,83.61,0,1210182,MN,1842076.0,Human Services , Social Services ,MINNESOTA,Minnesota,MN,27.0
76,100,246172,Dogs for Better Lives,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5781,Central Point,,123871,4.22,President/CEO,-1597228,91.21,273098,17135675,"Animals : Animal Rights, Welfare, and Services ",-417195,93.78,0,2410682,OR,1747792.0,Animals ," Animal Rights, Welfare, and Services ",OREGON,Oregon,OR,41.0
77,100,882257,Dollar Energy Fund,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7957,Pittsburgh,,196866,1.11,Chief Executive Officer,-1235391,89.67,388262,11389269,Human Services : Social Services ,38461,92.69,0,16322374,PA,6288924.0,Human Services , Social Services ,PENNSYLVANIA,Pennsylvania,PA,42.0
78,77,1550307,Doernbecher Children's Hospital Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6416,Portland,,,4745056.0,83.2,1750072,62800576.0,"Health : Treatment and Prevention Services , ",1285208,79.85,0,9985811.0,OR,16394767,,,,,,,,
79,96,7881815,Doheny Eye Institute,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5851,Los Angeles,,508387,2.3,Executive Director,135160,75.35,1156043,73488393,Health : Medical Research ,4876609,82.34,0,12990486,CA,5004366.0,Health , Medical Research ,CALIFORNIA,California,CA,6.0
80,97,5558418,"Doctors Without Borders, USA",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3628,New York,,200805,0.05,Executive Director,10898493,97.5,32351142,287228413,"International : Development and Relief Services , ",2582377,97.23,0,325591291,NY,357438744.0,International ," Development and Relief Services , ",NEW YORK,New York,NY,36.0
81,92,127963,Doctors Care,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13211,Littleton,,121039,5.68,Executive Director,435057,99.57,73496,5146089,Health : Treatment and Prevention Services ,59121,94.33,0,1928532,CO,1410357.0,Health , Treatment and Prevention Services ,COLORADO,Colorado,CO,7.0
82,96,901523,Do Something,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9374,New York,,197812,1.98,Chief Executive Officer,-1094986,97.5,321439,12137900,"Human Services : Youth Development, Shelter, and Crisis Services ",13034,96.66,0,8732903,NY,6696349.0,Human Services ," Youth Development, Shelter, and Crisis Services ",NEW YORK,New York,NY,36.0
83,85,2790569,DKT International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3627,Washington,,374511,0.22,President & CEO,64799405,97.5,458429,216603841,International : Development and Relief Services ,13814501,89.24,0,164015177,DC,97787203.0,International , Development and Relief Services ,DISTRICT OF COLUMBIA,District of Columbia,DC,11.0
84,78,603059,The Dixon Gallery and Gardens,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9632,Memphis,,219525,4.76,Executive Director,-295691,91.91,103496,5005754,"Arts, Culture, Humanities : Museums ",181398,83.42,0,3900838,TN,4015692.0,"Arts, Culture, Humanities ", Museums ,TENNESSEE,Tennessee,TN,47.0
85,85,863795,District of Columbia College Access Program,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5467,Washington,,342868,4.54,"President, CEO",651156,88.77,582034,73740982,Education : Scholarship and Financial Support ,6181358,86.75,0,6105784,DC,2021411.0,Education , Scholarship and Financial Support ,DISTRICT OF COLUMBIA,District of Columbia,DC,11.0
86,93,713449,Discovery World,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15768,Milwaukee,,182065,1.77,CEO and President,-2667095,85.79,304184,37073513,"Arts, Culture, Humanities : Museums ",295158,88.79,0,9229297,WI,4120552.0,"Arts, Culture, Humanities ", Museums ,WISCONSIN,Wisconsin,WI,55.0
