,State_name,overall_score_average,Animals_score_average,Arts_score_average,Community_score_average,Education_score_average,Environment_score_average,Health_score_average,HumanServices_score_average,CivilRights_score_average,International_score_average,Religion_score_average,Research_score_average
34,North Dakota,85.81624999999998,87.27,85.075,90.99,,,,82.37666666666667,,,,
35,Ohio,87.50178743961354,90.10214285714285,85.77999999999999,87.35268292682926,89.372,85.61749999999999,88.088125,88.44173076923077,83.22666666666666,91.61,83.165,
36,Oklahoma,86.67076923076924,87.00999999999999,84.11,88.12249999999999,90.76499999999999,,86.92428571428572,87.5116,86.19,91.74,79.7875,75.57
37,Oregon,88.31265306122448,89.96727272727274,89.41545454545455,89.62,85.54444444444442,90.02076923076922,87.69285714285714,87.9415625,,88.69333333333333,83.97200000000001,
38,Pennsylvania,87.75643410852707,89.94086956521738,86.02023255813953,87.00885714285714,88.02571428571427,85.745,88.95694444444446,88.68172413793101,90.63833333333334,88.328,84.64666666666666,90.10000000000001
39,Rhode Island,84.37423076923075,86.27666666666666,84.283,79.6,92.465,81.28,81.41499999999999,83.58000000000001,,82.765,,
40,South Carolina,88.019375,88.92833333333334,84.43454545454546,90.28,85.21000000000001,89.87,90.89000000000001,88.92391304347827,,88.46666666666665,81.10333333333334,
41,South Dakota,81.15777777777778,80.82,79.75,91.35666666666667,89.34,,84.88,77.38125,,78.82,77.055,
42,Tennessee,86.2842682926829,89.98599999999999,85.02409090909092,88.93190476190476,84.85000000000001,84.985,85.21666666666667,87.34298245614038,91.445,87.35142857142857,81.02,
43,Texas,87.91243037974675,86.86833333333333,87.66487804878051,88.36529411764707,85.75545454545454,89.82416666666666,87.47447368421051,89.42931249999995,82.18666666666667,89.63190476190478,82.67500000000001,86.10666666666667
44,Utah,87.64581395348837,90.68333333333334,87.5925,90.15,90.18333333333334,80.75,79.205,91.23076923076923,92.22,85.01666666666667,,
45,Vermont,87.55535714285715,,85.07000000000001,89.39,,82.99,91.78,90.32714285714285,,94.02666666666669,,90.36
46,Virginia,86.59959854014599,88.53214285714287,84.10764705882356,86.97999999999999,86.7740909090909,90.63733333333334,88.61647058823529,88.25399999999999,82.9005,87.78,80.6842857142857,79.768
47,Washington,86.86968421052633,87.85200000000002,84.7145714285714,87.83785714285713,83.39500000000002,92.95750000000001,83.11000000000001,88.63491803278684,85.02,90.8107142857143,79.99000000000001,83.24624999999999
48,West Virginia,84.77615384615385,79.53,82.64333333333333,82.585,,96.47,87.52,86.76666666666667,,,,
49,Wisconsin,87.3172972972973,87.60900000000001,80.64105263157896,89.61555555555555,87.7875,84.36749999999999,89.40599999999998,89.13647058823528,90.62,89.32,87.04625,
50,Wyoming,85.80000000000001,,87.045,79.32333333333334,,89.435,,85.755,,,,
51,Puerto Rico,84.36,,,87.06,,,81.66,,,,,
