,State_name,total_contributions_percapita,Animals_contributions_percapita,Arts_contributions_percapita,Community_contributions_percapita,Education_contributions_percapita,Environment_contributions_percapita,Health_contributions_percapita,HumanServices_contributions_percapita,CivilRights_contributions_percapita,International_contributions_percapita,Religion_contributions_percapita,Research_contributions_percapita
0,Alabama,78.8433075948263,1.6180492434931173,4.4403827427158316,17.171011292449297,1.3923254441816437,2.0734092320005746,4.109182644208323,22.998724738211166,11.179362676941548,0.4405793472851433,12.756908916468712,0.6633713168709501
1,Alaska,66.61479548412433,,2.1034340867388037,9.573030469963637,,8.073057946946637,,42.65735263959983,,,4.20792034087543,
2,Arizona,201.74399896544534,5.48852315760052,5.3856786574978175,36.63520861508079,26.38562812217114,4.367577641638384,17.349694665840122,67.39208372624786,7.983178975827789,18.396004756566647,11.270922157568865,1.0894984894053965
3,Arkansas,92.46662573704172,,1.7644848019587527,,16.310653852425915,,0.20502473952384462,26.785045769036195,,38.570716153940296,8.830700420156717,
4,California,248.64598626227132,11.494944172410465,31.16524620226945,25.47501762639455,11.392373515842898,7.333789440181052,27.970789569831936,62.259763569640675,6.6787927199282215,42.371824610147485,10.219036561802339,12.284408273822262
5,Colorado,406.276136393295,13.037673613361289,26.338908230800683,22.56338304744214,14.585926174361994,14.81947512823868,8.88365456846803,90.33679167781521,3.7420756210061623,176.36764441909844,33.97898148011699,1.6216224325853639
6,Connecticut,1008.4345701751092,4.511168457592034,19.259908569481198,27.091240225392596,12.985092655234862,2.5941554419711594,35.34800517015145,47.928742264250566,3.192657645058789,853.2715585058352,1.8947467247953715,0.3572945153459445
7,Delaware,97.51045878669325,3.587153430952842,8.645379322413115,24.222822882879505,10.006211108958455,4.649801990304712,2.1122176460907407,44.28687240509388,,,,
8,District of Columbia,11165.219796434203,809.2048216450879,2874.703459578041,116.32502315875271,533.7862804803146,771.2075558953296,458.26629313995113,1905.2429855353537,698.3980819783717,1650.1125537059063,102.94039710215719,1245.0323442149363
9,Florida,170.37780179222423,4.530943999713251,10.298592171082849,27.70881060615738,30.09257747058098,1.5818285484188628,24.871310074697934,51.260823421813306,1.1088075270291218,15.46427186433685,2.8555310199769646,0.6043050884167389
10,Georgia,314.4642136369359,2.9950584108921077,15.037218328077453,31.976876878836357,4.602472099567963,5.632878542345402,85.67276696748519,74.8021069067483,0.6370016189850368,84.78819353818471,7.982209012580335,0.3374313332330264
11,Hawaii,114.5610657303257,5.201017907660635,16.023294693904916,43.57592511506979,3.545496128724536,,5.573175730835493,39.92649430115569,,0.7156618529746354,,
12,Idaho,48.46593835135154,10.154618862973694,1.3895557039240083,2.0360179333882713,0.4710134862254676,1.489309884373767,,29.349318218426895,,3.5761042620394385,,
13,Illinois,418.6306903359918,7.737533229118607,26.433589984229904,20.822375078844605,21.297303884642712,4.8119399741351305,43.3283551254302,241.07800067235812,5.074551840245452,39.71557457044722,6.973459481569733,1.3580064949701234
14,Indiana,113.5745876731349,4.644297043078226,13.175642662374885,20.062880617218003,6.70926503358164,0.29145986570951304,7.309322779032119,38.84992390285898,0.25426740682646815,20.683682235894224,1.593846126560833,
15,Iowa,53.870167303755586,0.06384816112657189,4.080675442406388,19.874852139344707,1.530500360775233,1.2605623264235848,3.807633247749166,20.02145556205477,0.3502160044405061,1.0804196748479453,1.4903251552318446,0.30967922935487163
16,Kansas,152.7810390951137,4.376920529448319,2.446392652733611,9.84135911772828,16.56552058784184,,2.0237274391416085,39.75549726138527,,68.02347089282588,8.338280733887533,1.4098698801213403
17,Kentucky,93.55058382855692,1.1549752243986013,13.444038291547708,16.138093158598686,1.7021792235562287,0.6651815764910592,1.8168529378646752,51.9772235728604,,0.283404471272911,3.4893423447133807,2.879293027253274
18,Louisiana,78.1350346755647,1.4204336597099676,16.434469189915074,18.391672411134014,0.6828408570944101,0.4287180479092837,0.35529970782034315,40.421600801981604,,,,
19,Maine,256.70071728264986,3.7935193343856977,22.666370954739577,47.651316642982216,0.9819580728981143,17.198756660080015,71.76165293718434,51.42144948837837,2.2556248383020687,19.327665813026574,0.36529296853030174,19.277109572142585
20,Maryland,506.0354286441122,6.138640665620941,8.380053299891303,46.660421294716,8.686347314493373,8.037781941469492,113.80240483836214,76.88443287752999,7.438358895982402,225.26044140100774,3.7158860075943485,1.0306601074444457
21,Massachusetts,516.8793487888705,8.58935744762855,89.79395708753417,63.05212698108203,42.23217314942806,16.627498531286307,87.046591926271,93.38349583978987,10.901430230324134,60.8286950540975,1.7576191076361707,42.66640343379267
22,Michigan,123.22072616797558,5.428947915183645,17.718067469338866,20.668568757964298,2.373826037830199,2.248108012116047,3.266325045515669,50.94157875858308,1.496719501231778,9.647402198536355,8.536901171509681,0.8942813001659643
23,Minnesota,274.0724954111305,12.71615154308553,43.97396620655914,54.252671494883735,35.58081511565786,3.7058858987787424,13.496064305531888,73.69424948659183,1.9631495920175173,30.06838688618866,3.253951753936909,1.3672031278986891
24,Mississippi,59.71948808291126,0.3272602777318543,1.0933320660682408,15.094790871139889,28.442524954301483,,0.9422465129572278,6.236333114908593,6.178748299064745,,1.404251986739231,
25,Missouri,289.91411186232733,2.557933521839354,23.147200495728498,66.54603868934413,7.7003456416548115,14.413132942572878,5.125748224654309,119.76613932772878,1.342903592853182,32.05722727894679,17.257442147004582,
26,Montana,178.94729369486413,45.5798215898504,2.4752114738638533,7.19981158004002,,20.686294062397018,7.03838581835898,84.53066715291172,2.0733023921927276,5.305440721314153,,4.058358903935261
